"NúmeroDoPedido";"CódigoDoCliente";"CódigoDoFuncionário";"DataDoPedido";"DataDeEntrega";"DataDeEnvio";"Via";"Frete";"NomeDoDestinatário";"EndereçoDoDestinatário";"CidadeDeDestino";"RegiãoDeDestino";"CEPdeDestino";"PaísDeDestino"
10378;"FOLKO";5;10/12/1996 00:00:00;7/1/1997 00:00:00;19/12/1996 00:00:00;3;R$ 5,44;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10379;"QUEDE";2;11/12/1996 00:00:00;8/1/1997 00:00:00;13/12/1996 00:00:00;1;R$ 45,03;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10380;"HUNGO";8;12/12/1996 00:00:00;9/1/1997 00:00:00;16/1/1997 00:00:00;3;R$ 35,03;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10381;"LILAS";3;12/12/1996 00:00:00;9/1/1997 00:00:00;13/12/1996 00:00:00;3;R$ 7,99;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10382;"ERNSH";4;13/12/1996 00:00:00;10/1/1997 00:00:00;16/12/1996 00:00:00;1;R$ 94,77;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10383;"AROUT";8;16/12/1996 00:00:00;13/1/1997 00:00:00;18/12/1996 00:00:00;3;R$ 34,24;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10384;"BERGS";3;16/12/1996 00:00:00;13/1/1997 00:00:00;20/12/1996 00:00:00;3;R$ 168,64;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10385;"SPLIR";1;17/12/1996 00:00:00;14/1/1997 00:00:00;23/12/1996 00:00:00;2;R$ 30,96;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10386;"FAMIA";9;18/12/1996 00:00:00;1/1/1997 00:00:00;25/12/1996 00:00:00;3;R$ 13,99;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10387;"SANTG";1;18/12/1996 00:00:00;15/1/1997 00:00:00;20/12/1996 00:00:00;2;R$ 93,63;"Santé Gourmet";"Erling Skakkes gate 78";"Stavern";;"4110";"Noruega"
10388;"SEVES";2;19/12/1996 00:00:00;16/1/1997 00:00:00;20/12/1996 00:00:00;1;R$ 34,86;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Reino Unido"
10389;"BOTTM";4;20/12/1996 00:00:00;17/1/1997 00:00:00;24/12/1996 00:00:00;2;R$ 47,42;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canadá"
10390;"ERNSH";6;23/12/1996 00:00:00;20/1/1997 00:00:00;26/12/1996 00:00:00;1;R$ 126,38;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10391;"DRACD";3;23/12/1996 00:00:00;20/1/1997 00:00:00;31/12/1996 00:00:00;3;R$ 5,45;"Drachenblut Delikatessen";"Walserweg 21";"Aachen";;"52066";"Alemanha"
10392;"PICCO";2;24/12/1996 00:00:00;21/1/1997 00:00:00;1/1/1997 00:00:00;3;R$ 122,46;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10393;"SAVEA";1;25/12/1996 00:00:00;22/1/1997 00:00:00;3/1/1997 00:00:00;3;R$ 126,56;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10394;"HUNGC";1;25/12/1996 00:00:00;22/1/1997 00:00:00;3/1/1997 00:00:00;3;R$ 30,34;"Hungry Coyote Import Store";"City Center Plaza 516 Main St.";"Elgin";"OR";"97827";"EUA"
10395;"HILAA";6;26/12/1996 00:00:00;23/1/1997 00:00:00;3/1/1997 00:00:00;1;R$ 184,41;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10396;"FRANK";1;27/12/1996 00:00:00;10/1/1997 00:00:00;6/1/1997 00:00:00;3;R$ 135,35;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10397;"PRINI";5;27/12/1996 00:00:00;24/1/1997 00:00:00;2/1/1997 00:00:00;1;R$ 60,26;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10398;"SAVEA";2;30/12/1996 00:00:00;27/1/1997 00:00:00;9/1/1997 00:00:00;3;R$ 89,16;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10399;"VAFFE";8;31/12/1996 00:00:00;14/1/1997 00:00:00;8/1/1997 00:00:00;3;R$ 27,36;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10400;"EASTC";1;1/1/1997 00:00:00;29/1/1997 00:00:00;16/1/1997 00:00:00;3;R$ 83,93;"Eastern Connection";"35 King George";"London";;"WX3 6FW";"Reino Unido"
10401;"RATTC";1;1/1/1997 00:00:00;29/1/1997 00:00:00;10/1/1997 00:00:00;1;R$ 12,51;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10402;"ERNSH";8;2/1/1997 00:00:00;13/2/1997 00:00:00;10/1/1997 00:00:00;2;R$ 67,88;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10403;"ERNSH";4;3/1/1997 00:00:00;31/1/1997 00:00:00;9/1/1997 00:00:00;3;R$ 73,79;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10404;"MAGAA";2;3/1/1997 00:00:00;31/1/1997 00:00:00;8/1/1997 00:00:00;1;R$ 155,97;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Itália"
10405;"LINOD";1;6/1/1997 00:00:00;3/2/1997 00:00:00;22/1/1997 00:00:00;1;R$ 34,82;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10406;"QUEEN";7;7/1/1997 00:00:00;18/2/1997 00:00:00;13/1/1997 00:00:00;1;R$ 108,04;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
10407;"OTTIK";2;7/1/1997 00:00:00;4/2/1997 00:00:00;30/1/1997 00:00:00;2;R$ 91,48;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10408;"FOLIG";8;8/1/1997 00:00:00;5/2/1997 00:00:00;14/1/1997 00:00:00;1;R$ 11,26;"Folies gourmandes";"184, chaussée de Tournai";"Lille";;"59000";"França"
10409;"OCEAN";3;9/1/1997 00:00:00;6/2/1997 00:00:00;14/1/1997 00:00:00;1;R$ 29,83;"Océano Atlántico Ltda.";"Ing. Gustavo Moncada 8585 Piso 20-A";"Buenos Aires";;"1010";"Argentina"
10410;"BOTTM";3;10/1/1997 00:00:00;7/2/1997 00:00:00;15/1/1997 00:00:00;3;R$ 2,40;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canadá"
10411;"BOTTM";9;10/1/1997 00:00:00;7/2/1997 00:00:00;21/1/1997 00:00:00;3;R$ 23,65;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canadá"
10412;"WARTH";8;13/1/1997 00:00:00;10/2/1997 00:00:00;15/1/1997 00:00:00;2;R$ 3,77;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10413;"LAMAI";3;14/1/1997 00:00:00;11/2/1997 00:00:00;16/1/1997 00:00:00;2;R$ 95,66;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10414;"FAMIA";2;14/1/1997 00:00:00;11/2/1997 00:00:00;17/1/1997 00:00:00;3;R$ 21,48;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10415;"HUNGC";3;15/1/1997 00:00:00;12/2/1997 00:00:00;24/1/1997 00:00:00;1;R$ 0,20;"Hungry Coyote Import Store";"City Center Plaza 516 Main St.";"Elgin";"OR";"97827";"EUA"
10416;"WARTH";8;16/1/1997 00:00:00;13/2/1997 00:00:00;27/1/1997 00:00:00;3;R$ 22,72;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10417;"SIMOB";4;16/1/1997 00:00:00;13/2/1997 00:00:00;28/1/1997 00:00:00;3;R$ 70,29;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Dinamarca"
10418;"QUICK";4;17/1/1997 00:00:00;14/2/1997 00:00:00;24/1/1997 00:00:00;1;R$ 17,55;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10419;"RICSU";4;20/1/1997 00:00:00;17/2/1997 00:00:00;30/1/1997 00:00:00;2;R$ 137,35;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suíça"
10420;"WELLI";3;21/1/1997 00:00:00;18/2/1997 00:00:00;27/1/1997 00:00:00;1;R$ 44,12;"Wellington Importadora";"Rua do Mercado, 12";"Resende";"SP";"08737-363";"Brasil"
10421;"QUEDE";8;21/1/1997 00:00:00;4/3/1997 00:00:00;27/1/1997 00:00:00;1;R$ 99,23;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10422;"FRANS";2;22/1/1997 00:00:00;19/2/1997 00:00:00;31/1/1997 00:00:00;1;R$ 3,02;"Franchi S.p.A.";"Via Monte Bianco 34";"Torino";;"10100";"Itália"
10423;"GOURL";6;23/1/1997 00:00:00;6/2/1997 00:00:00;24/2/1997 00:00:00;3;R$ 24,50;"Gourmet Lanchonetes";"Av. Brasil, 442";"Campinas";"SP";"04876-786";"Brasil"
10424;"MEREP";7;23/1/1997 00:00:00;20/2/1997 00:00:00;27/1/1997 00:00:00;2;R$ 370,61;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10425;"LAMAI";6;24/1/1997 00:00:00;21/2/1997 00:00:00;14/2/1997 00:00:00;2;R$ 7,93;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10426;"GALED";4;27/1/1997 00:00:00;24/2/1997 00:00:00;6/2/1997 00:00:00;1;R$ 18,69;"Galería del gastronómo";"Rambla de Cataluña, 23";"Barcelona";;"8022";"Espanha"
10427;"PICCO";4;27/1/1997 00:00:00;24/2/1997 00:00:00;3/3/1997 00:00:00;2;R$ 31,29;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10428;"REGGC";7;28/1/1997 00:00:00;25/2/1997 00:00:00;4/2/1997 00:00:00;1;R$ 11,09;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10429;"HUNGO";3;29/1/1997 00:00:00;12/3/1997 00:00:00;7/2/1997 00:00:00;2;R$ 56,63;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10430;"ERNSH";4;30/1/1997 00:00:00;13/2/1997 00:00:00;3/2/1997 00:00:00;1;R$ 458,78;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10431;"BOTTM";4;30/1/1997 00:00:00;13/2/1997 00:00:00;7/2/1997 00:00:00;2;R$ 44,17;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canadá"
10432;"SPLIR";3;31/1/1997 00:00:00;14/2/1997 00:00:00;7/2/1997 00:00:00;2;R$ 4,34;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10433;"PRINI";3;3/2/1997 00:00:00;3/3/1997 00:00:00;4/3/1997 00:00:00;3;R$ 73,83;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10434;"FOLKO";3;3/2/1997 00:00:00;3/3/1997 00:00:00;13/2/1997 00:00:00;2;R$ 17,92;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10435;"CONSH";8;4/2/1997 00:00:00;18/3/1997 00:00:00;7/2/1997 00:00:00;2;R$ 9,21;"Consolidated Holdings";"Berkeley Gardens 12  Brewery ";"London";;"WX1 6LT";"Reino Unido"
10436;"BLONP";3;5/2/1997 00:00:00;5/3/1997 00:00:00;11/2/1997 00:00:00;2;R$ 156,66;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10437;"WARTH";8;5/2/1997 00:00:00;5/3/1997 00:00:00;12/2/1997 00:00:00;1;R$ 19,97;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10438;"TOMSP";3;6/2/1997 00:00:00;6/3/1997 00:00:00;14/2/1997 00:00:00;2;R$ 8,24;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Alemanha"
10439;"MEREP";6;7/2/1997 00:00:00;7/3/1997 00:00:00;10/2/1997 00:00:00;3;R$ 4,07;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10440;"SAVEA";4;10/2/1997 00:00:00;10/3/1997 00:00:00;28/2/1997 00:00:00;2;R$ 86,53;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10441;"OLDWO";3;10/2/1997 00:00:00;24/3/1997 00:00:00;14/3/1997 00:00:00;2;R$ 73,02;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"EUA"
10442;"ERNSH";3;11/2/1997 00:00:00;11/3/1997 00:00:00;18/2/1997 00:00:00;2;R$ 47,94;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10443;"REGGC";8;12/2/1997 00:00:00;12/3/1997 00:00:00;14/2/1997 00:00:00;1;R$ 13,95;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10444;"BERGS";3;12/2/1997 00:00:00;12/3/1997 00:00:00;21/2/1997 00:00:00;3;R$ 3,50;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10445;"BERGS";3;13/2/1997 00:00:00;13/3/1997 00:00:00;20/2/1997 00:00:00;1;R$ 9,30;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10446;"TOMSP";6;14/2/1997 00:00:00;14/3/1997 00:00:00;19/2/1997 00:00:00;1;R$ 14,68;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Alemanha"
10447;"RICAR";4;14/2/1997 00:00:00;14/3/1997 00:00:00;7/3/1997 00:00:00;2;R$ 68,66;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10448;"RANCH";4;17/2/1997 00:00:00;17/3/1997 00:00:00;24/2/1997 00:00:00;2;R$ 38,82;"Rancho grande";"Av. del Libertador 900";"Buenos Aires";;"1010";"Argentina"
10449;"BLONP";3;18/2/1997 00:00:00;18/3/1997 00:00:00;27/2/1997 00:00:00;2;R$ 53,30;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10450;"VICTE";8;19/2/1997 00:00:00;19/3/1997 00:00:00;11/3/1997 00:00:00;2;R$ 7,23;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"França"
10451;"QUICK";4;19/2/1997 00:00:00;5/3/1997 00:00:00;12/3/1997 00:00:00;3;R$ 189,09;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10452;"SAVEA";8;20/2/1997 00:00:00;20/3/1997 00:00:00;26/2/1997 00:00:00;1;R$ 140,26;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10453;"AROUT";1;21/2/1997 00:00:00;21/3/1997 00:00:00;26/2/1997 00:00:00;2;R$ 25,36;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10454;"LAMAI";4;21/2/1997 00:00:00;21/3/1997 00:00:00;25/2/1997 00:00:00;3;R$ 2,74;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10455;"WARTH";8;24/2/1997 00:00:00;7/4/1997 00:00:00;3/3/1997 00:00:00;2;R$ 180,45;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10456;"KOENE";8;25/2/1997 00:00:00;8/4/1997 00:00:00;28/2/1997 00:00:00;2;R$ 8,12;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10457;"KOENE";2;25/2/1997 00:00:00;25/3/1997 00:00:00;3/3/1997 00:00:00;1;R$ 11,57;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10458;"SUPRD";7;26/2/1997 00:00:00;26/3/1997 00:00:00;4/3/1997 00:00:00;3;R$ 147,06;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Bélgica"
10459;"VICTE";4;27/2/1997 00:00:00;27/3/1997 00:00:00;28/2/1997 00:00:00;2;R$ 25,09;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"França"
10460;"FOLKO";8;28/2/1997 00:00:00;28/3/1997 00:00:00;3/3/1997 00:00:00;1;R$ 16,27;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10461;"LILAS";1;28/2/1997 00:00:00;28/3/1997 00:00:00;5/3/1997 00:00:00;3;R$ 148,61;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10462;"CONSH";2;3/3/1997 00:00:00;31/3/1997 00:00:00;18/3/1997 00:00:00;1;R$ 6,17;"Consolidated Holdings";"Berkeley Gardens 12  Brewery ";"London";;"WX1 6LT";"Reino Unido"
10463;"SUPRD";5;4/3/1997 00:00:00;1/4/1997 00:00:00;6/3/1997 00:00:00;3;R$ 14,78;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Bélgica"
10464;"FURIB";4;4/3/1997 00:00:00;1/4/1997 00:00:00;14/3/1997 00:00:00;2;R$ 89,00;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10465;"VAFFE";1;5/3/1997 00:00:00;2/4/1997 00:00:00;14/3/1997 00:00:00;3;R$ 145,04;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10466;"COMMI";4;6/3/1997 00:00:00;3/4/1997 00:00:00;13/3/1997 00:00:00;1;R$ 11,93;"Comércio Mineiro";"Av. dos Lusíadas, 23";"São Paulo";"SP";"05432-043";"Brasil"
10467;"MAGAA";8;6/3/1997 00:00:00;3/4/1997 00:00:00;11/3/1997 00:00:00;2;R$ 4,93;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Itália"
10468;"KOENE";3;7/3/1997 00:00:00;4/4/1997 00:00:00;12/3/1997 00:00:00;3;R$ 44,12;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10469;"WHITC";1;10/3/1997 00:00:00;7/4/1997 00:00:00;14/3/1997 00:00:00;1;R$ 60,18;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10470;"BONAP";4;11/3/1997 00:00:00;8/4/1997 00:00:00;14/3/1997 00:00:00;2;R$ 64,56;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10471;"BSBEV";2;11/3/1997 00:00:00;8/4/1997 00:00:00;18/3/1997 00:00:00;3;R$ 45,59;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10472;"SEVES";8;12/3/1997 00:00:00;9/4/1997 00:00:00;19/3/1997 00:00:00;1;R$ 4,20;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Reino Unido"
10473;"ISLAT";1;13/3/1997 00:00:00;27/3/1997 00:00:00;21/3/1997 00:00:00;3;R$ 16,37;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10474;"PERIC";5;13/3/1997 00:00:00;10/4/1997 00:00:00;21/3/1997 00:00:00;2;R$ 83,49;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"México"
10475;"SUPRD";9;14/3/1997 00:00:00;11/4/1997 00:00:00;4/4/1997 00:00:00;1;R$ 68,52;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Bélgica"
10476;"HILAA";8;17/3/1997 00:00:00;14/4/1997 00:00:00;24/3/1997 00:00:00;3;R$ 4,41;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10477;"PRINI";5;17/3/1997 00:00:00;14/4/1997 00:00:00;25/3/1997 00:00:00;2;R$ 13,02;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10478;"VICTE";2;18/3/1997 00:00:00;1/4/1997 00:00:00;26/3/1997 00:00:00;3;R$ 4,81;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"França"
10479;"RATTC";3;19/3/1997 00:00:00;16/4/1997 00:00:00;21/3/1997 00:00:00;3;R$ 708,95;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10480;"FOLIG";6;20/3/1997 00:00:00;17/4/1997 00:00:00;24/3/1997 00:00:00;2;R$ 1,35;"Folies gourmandes";"184, chaussée de Tournai";"Lille";;"59000";"França"
10481;"RICAR";8;20/3/1997 00:00:00;17/4/1997 00:00:00;25/3/1997 00:00:00;2;R$ 64,33;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10482;"LAZYK";1;21/3/1997 00:00:00;18/4/1997 00:00:00;10/4/1997 00:00:00;3;R$ 7,48;"Lazy K Kountry Store";"12 Orchestra Terrace";"Walla Walla";"WA";"99362";"EUA"
10483;"WHITC";7;24/3/1997 00:00:00;21/4/1997 00:00:00;25/4/1997 00:00:00;2;R$ 15,28;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10484;"BSBEV";3;24/3/1997 00:00:00;21/4/1997 00:00:00;1/4/1997 00:00:00;3;R$ 6,88;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10485;"LINOD";4;25/3/1997 00:00:00;8/4/1997 00:00:00;31/3/1997 00:00:00;2;R$ 64,45;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10486;"HILAA";1;26/3/1997 00:00:00;23/4/1997 00:00:00;2/4/1997 00:00:00;2;R$ 30,53;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10487;"QUEEN";2;26/3/1997 00:00:00;23/4/1997 00:00:00;28/3/1997 00:00:00;2;R$ 71,07;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
10488;"FRANK";8;27/3/1997 00:00:00;24/4/1997 00:00:00;2/4/1997 00:00:00;2;R$ 4,93;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10489;"PICCO";6;28/3/1997 00:00:00;25/4/1997 00:00:00;9/4/1997 00:00:00;2;R$ 5,29;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10490;"HILAA";7;31/3/1997 00:00:00;28/4/1997 00:00:00;3/4/1997 00:00:00;2;R$ 210,19;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10491;"FURIB";8;31/3/1997 00:00:00;28/4/1997 00:00:00;8/4/1997 00:00:00;3;R$ 16,96;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10492;"BOTTM";3;1/4/1997 00:00:00;29/4/1997 00:00:00;11/4/1997 00:00:00;1;R$ 62,89;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canadá"
10493;"LAMAI";4;2/4/1997 00:00:00;30/4/1997 00:00:00;10/4/1997 00:00:00;3;R$ 10,64;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10494;"COMMI";4;2/4/1997 00:00:00;30/4/1997 00:00:00;9/4/1997 00:00:00;2;R$ 65,99;"Comércio Mineiro";"Av. dos Lusíadas, 23";"São Paulo";"SP";"05432-043";"Brasil"
10495;"LAUGB";3;3/4/1997 00:00:00;1/5/1997 00:00:00;11/4/1997 00:00:00;3;R$ 4,65;"Laughing Bacchus Wine Cellars";"2319 Elm St.";"Vancouver";"BC";"V3F 2K1";"Canadá"
10496;"TRADH";7;4/4/1997 00:00:00;2/5/1997 00:00:00;7/4/1997 00:00:00;2;R$ 46,77;"Tradição Hipermercados";"Av. Inês de Castro, 414";"São Paulo";"SP";"05634-030";"Brasil"
10497;"LEHMS";7;4/4/1997 00:00:00;2/5/1997 00:00:00;7/4/1997 00:00:00;1;R$ 36,21;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10498;"HILAA";8;7/4/1997 00:00:00;5/5/1997 00:00:00;11/4/1997 00:00:00;2;R$ 29,75;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10499;"LILAS";4;8/4/1997 00:00:00;6/5/1997 00:00:00;16/4/1997 00:00:00;2;R$ 102,02;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10500;"LAMAI";6;9/4/1997 00:00:00;7/5/1997 00:00:00;17/4/1997 00:00:00;1;R$ 42,68;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10501;"BLAUS";9;9/4/1997 00:00:00;7/5/1997 00:00:00;16/4/1997 00:00:00;3;R$ 8,85;"Blauer See Delikatessen";"Forsterstr. 57";"Mannheim";;"68306";"Alemanha"
10502;"PERIC";2;10/4/1997 00:00:00;8/5/1997 00:00:00;29/4/1997 00:00:00;1;R$ 69,32;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"México"
10503;"HUNGO";6;11/4/1997 00:00:00;9/5/1997 00:00:00;16/4/1997 00:00:00;2;R$ 16,74;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10504;"WHITC";4;11/4/1997 00:00:00;9/5/1997 00:00:00;18/4/1997 00:00:00;3;R$ 59,13;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10505;"MEREP";3;14/4/1997 00:00:00;12/5/1997 00:00:00;21/4/1997 00:00:00;3;R$ 7,13;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10506;"KOENE";9;15/4/1997 00:00:00;13/5/1997 00:00:00;2/5/1997 00:00:00;2;R$ 21,19;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
